00NA,-12.466640097,-229.156012745,104.8510462
01NA,-12.478223997,-229.017953041,105.40856529999999
02NA,-12.355923269000002,-229.118271359,117.65247190000001
1LSU,30.40742467,-91.180261768,-6.486555200000001
1NSU,31.75080049,-93.09760368200001,28.0708859
1ULM,32.529033886,-92.07590573,15.9998758
20NA,-23.698194308,-226.117248513,607.1042369
21NA,-23.766991821999998,-226.12078321400003,574.4648097
25MA,-37.771915378,-67.715566392,373.95953010000005
299C,64.02892636,-142.075778074,748.1772862
2TRY,-33.76879443,-208.88366544599998,80.59184920000001
30NA,-23.698190245,-226.117246262,607.0678723999999
31NA,-23.766987892,-226.12078085099998,574.4293201
34A1,41.838657944,-119.65398102299999,1907.6772305
34A2,41.853117623,-119.60736388,1862.7794329
34A3,41.850735284,-119.57714425200001,1831.9474092
34A4,41.866601713,-119.494824975,1708.2157259
34NO,41.92914171,-119.708564875,1768.9731180999997
34SO,41.805874401,-119.706839385,1705.8902813000002
3ARO,-38.382075951,-60.274249651000005,137.522877
3CAN,40.61356781,-3.7016353910000004,765.6971154
3RIV,46.31476257,-72.57608384,-21.7295354
3RV2,46.315914275,-72.573360944,-21.491283600000003
489F,59.97270049,-136.818936243,925.5031682
4CDA,-28.244570301,-206.443891106,52.250851700000005
4COO,-27.491511937,-206.949872992,54.7176316
4CRN,-16.952384971,-214.257516907,90.1196203
4GLD,-23.839179249,-208.75544937799998,60.364761
4HLN,-27.921873879,-206.66373551400002,55.5711538
4HVB,-25.299670029,-207.190183048,73.95263620000001
4MC0,-26.662789246,-206.966621167,66.30177239999999
4MCK,-21.117199868,-210.841132561,76.48549609999999
4VIR,-27.375879923000003,-206.942180985,57.9855764
4WCK,-27.047137146999997,-209.042927034,387.5336744
4YAT,-27.73399412,-206.77805841400001,63.577709899999995
59WE,33.431119017,-112.18309197200001,289.1150513
5LIT,-35.050704216,-221.132493458,393.4279619
5MEN,-35.689171501,-220.66214876900003,11.717325599999999
5PTS,36.429178603000004,-120.264976914,56.5231551
7OAK,37.59498606,-114.75908955700001,1713.2781037999998
7ODM,34.1164069,-117.093191981,762.0717087
A17D,52.37930626399999,-346.93388974199996,144.220618
A351,-72.908104224,-285.089879446,1907.4766256999999
A368,-74.29057721,-293.2077687,1235.8288542999999
A770,-24.15901511,-208.112998073,126.3528731
AA03,8.328997016,-279.59004655,-8.4995172
AA04,9.695455137,-279.969204106,-82.8561954
AA05,8.570514444,-278.770394135,-85.6070873
AA07,7.719029115,-278.30114418200003,-85.0528025
AA08,6.412957635,-278.670891025,-52.3324255
AA09,5.9567423260000005,-279.455379395,-89.36436479999999
AACH,50.767923223000004,-353.91158152099996,263.2863028
AACR,9.938848643,-84.117917552,1123.9287226
AARS,50.9633106,-355.16388153300005,104.66833050000001
AASI,68.71931662600001,-52.79334115100001,56.28162639999999
AAUC,57.013822993999995,-350.012733394,60.338032
AB01,52.209504655,-174.2047565,25.4517
AB02,52.970605628,-168.854670414,192.7803898
AB04,63.656864727,-170.567443213,136.5756075
AB06,54.885322793,-163.423453746,500.41206320000003
AB07,55.34927653,-160.476756815,89.5753635
AB08,60.384831976,-166.200856886,26.523699800000003
AB09,65.61498158,-168.062125251,162.1015184
AB11,64.56449644199999,-165.373458492,349.45165069999996
AB12,58.950795336000006,-161.746261396,587.0813847999999
AB13,56.30732637,-158.503793705,487.8105774
AB14,59.108166477,-159.091531308,657.6313836
AB15,61.039753106000006,-159.87836125200002,560.3380533
AB17,63.886359367,-160.694731099,117.45967320000001
AB18,66.858363675,-162.613507435,37.1417927
AB21,51.864149751999996,-176.66264702700002,59.355585700000006
AB22,59.899320663999994,-154.698258635,199.8026036
AB25,62.929310615,-156.02339067,961.0437903999999
AB27,67.055886517,-156.90488927799998,508.12232
AB28,62.093815933,-152.814917299,1582.6878963
AB33,67.251012858,-150.172543891,334.7885888
AB35,60.079065758999995,-142.389870915,536.7133567
AB36,65.030399265,-150.7439841,816.5008322000001
AB37,62.967322965,-145.45187587,1136.5643658
AB39,66.559346276,-145.212630695,147.7081522
AB41,64.77732605,-141.15806649299998,285.9780948
AB42,59.340374911000005,-138.89881101,773.2389971
AB43,58.198842152,-136.640807704,26.924727100000002
AB44,59.528038905,-135.22829782,304.1452909
AB45,68.760495046,-148.87115146899998,507.02545269999996
AB46,68.12067184899999,-145.567901103,647.9398725
AB48,56.24506279,-134.646996195,5.2600824
AB49,55.580101792,-133.06848672200002,17.5244492
AB50,58.416775641,-134.545300597,51.5008602
AB51,56.79762327899999,-132.91356045,75.8129458
AB53,56.58475575600001,-132.867246475,1016.1324559000001
ABAD,51.286704304,-113.99817285799999,1098.6970248
ABAN,38.175063707,-1.053673675,207.7529515
ABAR,-32.996048565,-222.842736252,251.69148109999998
ABAS,54.334357227,-114.774189004,601.1771747
ABAZ,56.467100863999995,-111.19345977100001,464.8864404
ABBI,57.332055478,-111.74261391799999,266.0411999
ABBR,53.249739538,-114.979495201,834.4998400000001
ABBZ,-77.456881448,-193.09104830599998,1735.6705750999997
ABCA,50.963824331000005,-114.004158641,1029.8212396
ABCC,4.66123392,-74.126921948,2576.5678451999997
ABCH,50.015530446999996,-113.573264565,1019.9119222999999
ABCM,51.08855839,-115.36289816,1307.0704931
ABCO,51.189591905,-114.46933244600001,1142.6520798000001
ABCR,53.023242104,-112.822371269,727.1260892999999
ABD0,16.47430118,-61.487955251,-22.717663199999997
ABE1,16.471982303,-61.509335315,-17.1977128
ABED,57.134404136,-2.156380106,127.3917491
ABEM,53.559811947,-113.60418293,663.2177019
